Treebeast,0.698970004336019,1.69897000433602
Ivan,1.34242268082221,2.39794000867204
Brittany,1.86923171973098,3
Fisherman,2.38916608436453,3.60205999132796
Betty,2.98944981766669,4.30102999566398
Samurai,3.57112627708431,5
Leon,4.03578983312776,5.60205999132796
Seer,4.67345406345942,6.39794000867204
Alexa,5.27160930137883,7.17609125905568
Natalia,5.89320675305985,8
Mercedes,6.57065967002153,8.90308998699194
Bobby,7.23070431361257,9.81291335664286
Broyle,7.84185980977506,10.698970004336
George,8.66341821225268,11.6532125137753
Midas,9.47957531017499,12.602059991328
Referi,10.301029995664,13.5563025007673
Abaddon,11.1172712956558,14.5051499783199
Ma Zhu,11.9109977163106,15.431363764159
Amenthotep,12.7271344237605,16.3802112417116
Beastlord,13.6914351521441,17.4771212547197
Athena,15.0358298252528,18.9542425094393
Aphrodite,16.4930395883177,20.5440680443503
Shinatobe,17.9625113935076,22.1461280356782
Grant,20.306853748693,24.6232492903979
Frostleaf,22.8732624594387,27.3222192947339
Dread Knight,32.1172712956558,40
Atlas,44.9847522781154,55
Terra,57.8520528086979,70
Phthalo,70.7194141597026,85
Orntchya Gladeye; Didensy Banana,83.5866998016241,100
Lilin,96.4540822707311,115
Cadmia,109.321391278312,130
Alabaster,122.188647296,145
Astraea,135.056142262059,160
Chiron,147.923554858068,175
Moloch,160.790847903965,190
Bomber Max,173.658202253387,205
Gog,186.52556305827,220
Wepwawet,199.392872745402,235
Tsuchi,425.260071387985,500
Skogur,846.127428777852,1000
Moeru,1678.99497667365,2000
Zilar,3333.86231030995,4000
Madzi,6630.72965066834,8000
Xavira,11681.597036665,14000
Cadu,26444.4643404846,25500
Ceus,26444.3316297176,25500
The Maw,61730.1989318699,45500
Yachiyl,98692.0663259254,72000
Rose,148592.933790884,108000
Sophia,158831.801129188,114500
Blanche,178104.668479103,127500
Dorothy,199738.535800291,142200
